Name	Description
WGS	Random sequencing of the whole genome
WXS	Random sequencing of exonic regions selected from the genome
RNA-Seq	Random sequencing of whole transcriptome
miRNA-Seq	for micro RNA and other small non-coding RNA sequencing
ncRNA-Seq	Non-coding RNA
WCS	Random sequencing of a whole chromosome or other replicon isolated from a genome
CLONE	Genomic clone based hierarchical sequencing
POOLCLONE	Shotgun of pooled clones usually BACs and Fosmids
AMPLICON	Sequencing of overlapping or distinct PCR or RT-PCR products
CLONEEND	Clone end 5', 3', or both sequencing
FINISHING	Sequencing intended to finish close gaps in existing coverage
ChIP-Seq	Direct sequencing of chromatin immunoprecipitates
MNase-Seq	Direct sequencing following MNase digestion
DNase-Hypersensitivity	Sequencing of hypersensitive sites, or segments of open chromatin that are more readily cleaved by DNaseI
Bisulfite-Seq	Sequencing following treatment of DNA with bisulfite to convert cytosine residues to uracil depending on methylation status
EST	Single pass sequencing of cDNA templates
FL-cDNA	Full-length sequencing of cDNA templates
CTS	Concatenated Tag Sequencing
MRE-Seq	Methylation-Sensitive Restriction Enzyme Sequencing strategy
MeDIP-Seq	Methylated DNA Immunoprecipitation Sequencing strategy
MBD-Seq	Direct sequencing of methylated fractions sequencing strategy
Tn-Seq	for gene fitness determination through transposon seeding
FAIRE-seq	Formaldehyde-Assisted Isolation of Regulatory Elements 
SELEX	Systematic Evolution of Ligands by EXponential enrichment SELEX is an in vitro strategy to analyze RNA sequences that perform an activity of interest, most commonly high affinity binding to a ligand
RIP-Seq	Direct sequencing of RNA immunoprecipitates includes CLIP-Seq, HITS-CLIP and PAR-CLI
ChiA-PET	Direct sequencing of proximity-ligated chromatin immunoprecipitates
scRNA	single cell RNAseq
scDNA	single cell DNAseq
scOther	single cell ATAC or other protocols to target certain DNA regions
OTHER	Library strategy not listed
